pbt_Rgroup,tagrate
2014-LYON-TUCA-TucannonR-WA,0.9655
2014-LYON-WALL-CottonWoodGR/WallowaR/LyonsFerry/Touchet/WallaWalla-WA,0.9939
2014-MVFH-DWOR-PahsimeroiR-NoClip,0.9804
2014-MVFH-PAHS-LittleSalmonR-AdClip,0.9922
2014-MVFH-PAHS-UpperSalmonR-BelowPahsimeoriR-AdClip,1
2014-MVFH-USAL-LittleSalmonR-AdClip,1
2014-MVFH-USAL-PahsimeroiR-NoClip,1
2014-MVFH-USAL-YankeeForkR-AdClip,1
2014-MVFH-USAL-YankeeForkR-NoClip,1
2014-NIAG-OXBO-LittleSalmonR-AdClip,0.9231
2014-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,0.9844
2014-NIAG-PAHS-LittleSalmonR-AdClip,1
2014-NIAG-PAHS-PahsimeroiR-AdClip,0.9947
2014-SHOB-DWOR-YankeeForkR-EggBox,0.9118
2014-SHOB-PAHS-EggBox,1
2015-CLWH-SFCR-MeadowCr-AdClip,0.9024
2015-CLWH-SFCR-MeadowCr-NoClip,0.9038
2015-CLWH-SFCR-NewsomeCr-NoClip,1
2015-CLWH-SFCR-RedHouseHole-AdClip,0.9574
2015-DWOR-DWOR-ClearCr-AdClip,0.8684
2015-DWOR-DWOR-LoloCr-NoClip,0.8636
2015-DWOR-DWOR-NFClearwaterR-AdClip,0.8993
2015-DWOR-DWOR-RedHouseHole-AdClip,0.8765
2015-HNFH-EFNA-EastForkSalmonR-NoClip,1
2015-HNFH-SAWT-McNabbUpperSalmonR-AdClip,1
2015-HNFH-SAWT-SawtoothFH-AdClip,0.9367
2015-IRRI-IMNA-Imnaha,0.8822
2015-IRRI-WALL-GrandeRondeR/WallowaR,0.9428
2015-LYON-CGRW-CottonWoodGR/WallowaR/LyonsFerry/Touchet/WallaWalla-WA,0.9394
2015-LYON-TOUW-TouchetR-WA,1
2015-LYON-TUCA-TucannonR-WA,0.8667
2015-LYON-WALL-CottonWoodGR/WallowaR/LyonsFerry/Touchet/WallaWalla-WA,0.9394
2015-MVFH-DWOR-LittleSalmonR-AdClip,0.7273
2015-MVFH-DWOR-PahsimeroiR-NoClipCWT,0.8571
2015-MVFH-DWOR-SquawCr-AdClip,0.8
2015-MVFH-DWOR-YankeeForkR-AdClip,0.9
2015-MVFH-DWOR-YankeeForkR-NoClip,0.8041
2015-MVFH-PAHS-LittleSalmonR-AdClip,0.8125
2015-MVFH-PAHS-UpperSalmonR-BelowPahsimeoriR-AdClip,0.8676
2015-MVFH-USAL-LittleSalmonR-AdClip,0.6364
2015-MVFH-USAL-PahsimeroiR-NoClipCWT,0.7857
2015-MVFH-USAL-YankeeForkR-AdClip,0.7755
2015-MVFH-USAL-YankeeForkR-NoClip,0.6389
2015-NIAG-OXBO-LittleSalmonR-AdClip,0.9333
2015-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,0.925
2015-NIAG-PAHS-LittleSalmonR-AdClip,0.98
2015-NIAG-PAHS-PahsimeroiR-AdClip,0.9521
2015-NPTH-DWOR-NFClearwaterR-EggBox,0.8636
2015-SHOB-PAHS-IndianCr/PantherCr-EggBox,0.9371
2015-SHOB-USAL-YankeeForkR-EggBox,0.8542
2015-SKAM-SKAM-UNK,1
2015-WELH-OKAN-UNK,1
2016-CLWH-SFCR-MeadowCr-AdClip,0.9747
2016-CLWH-SFCR-MeadowCr-NoClip,0.9872
2016-CLWH-SFCR-NewsomeCr-NoClip,0.9677
2016-CLWH-SFCR-RedHouseHole-AdClip,0.9778
2016-DWOR-DWOR-ClearCr-AdClip,0.9342
2016-DWOR-DWOR-NFClearwaterR-AdClip,0.9443
2016-HNFH-EFNA-EastForkSalmonR-NoClip,1
2016-HNFH-SAWT-SawtoothFH-AdClip,0.9848
2016-IRRI-IMNA-Imnaha,0.9258
2016-IRRI-WALL-GrandeRondeR/WallowaR,0.8981
2016-LYON-CGRW-CottonWoodGR/WallowaR/LyonsFerry/Touchet/WallaWalla-WA,0.9653
2016-LYON-TOUW-TouchetR-WA,0.625
2016-LYON-TUCA-TucannonR-WA,1
2016-LYON-WALL-CottonWoodGR/WallowaR/LyonsFerry/Touchet/WallaWalla-WA,0.9653
2016-MVFH-DWOR-PahsimeroiR-NoClipCWT,0.9412
2016-MVFH-PAHS-LittleSalmonR-AdClip,1
2016-MVFH-PAHS-PahsimeroiR-AdClip,1
2016-MVFH-USAL-LittleSalmonR-AdClip,1
2016-MVFH-USAL-PahsimeroiR-NoClipCWT,0.9888
2016-MVFH-USAL-YankeeForkR-AdClip,0.9854
2016-MVFH-USAL-YankeeForkR-NoClip,1
2016-NIAG-OXBO-LittleSalmonR-AdClip,0.9016
2016-NIAG-OXBO-SnakeR-HellsCanyon-AdClip,0.8633
2016-NIAG-PAHS-LittleSalmonR-AdClip,0.9524
2016-NIAG-PAHS-PahsimeroiR-AdClip,0.9944
2016-NPTH-DWOR-NFClearwaterR-EggBox,1
2016-SHOB-DWOR-EggBox,0.9091
2016-SHOB-PAHS-EggBox,0.9167
2016-SHOB-USAL-EggBox,1
2016-WNTH-WNTH-UNK,1
2017-CLWH-SFCR-MeadowCr-AdClip,1
2017-CLWH-SFCR-MeadowCr-NoClip,1
2017-CLWH-SFCR-NewsomeCr-NoClip,1
2017-CLWH-SFCR-RedHouse-AdClip,1
2017-DWOR-DWOR-ClearCr-AdClip,0.9792
2017-DWOR-DWOR-LoloCr-NoClip,1
2017-DWOR-DWOR-LoloCr-NoClip/NFClearwaterR-NoClip,0.9967
2017-DWOR-DWOR-NFClearwaterR-AdClip,0.8909
2017-DWOR-DWOR-NFClearwaterR-AdClip/ClearCr-AdClip,0
2017-DWOR-DWOR-RedHouse-AdClip,0.9625
