DataKey,Date,Length,week,Comments,GeneticSex,AssignType,Adipose,GenPBT_Rgroup,Stock,BY,Basin,GenStock,GenStockProb,Big,Month,GenPa,GenMa
OmyZON623S_0185,44803,715,1,,F,PBT,AD,Wells2019,Wells,2019,Up-C,MGILCS,0.527723428,Small,8,OmyWellsPBT19-0144,OmyWellsPBT19-0205
OmyZON623S_0187,44803,545,1,,M,PBT,AD,2020-LYON-WALL-CottonWoodGR/LyonsFerry/Touchet-WA,Wallowa-WA,2020,Snake,UPSALM,0.49167947,Small,8,OmyLYON20S_0033,OmyLYON20S_0025
OmyZON623S_0189,44803,870,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999986042,Large,8,OmyDWOR19S_0598,OmyDWOR19S_0453
OmyZON623S_0190,44803,875,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999655885,Large,8,OmyDWOR19S_0394,OmyDWOR19S_0264
OmyZON623S_0191,44803,835,1,,F,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.998381202,Large,8,OmyDWOR19S_0147,OmyDWOR19S_0005
OmyZON623S_0193,44803,875,1,,M,PBT,AD,2019-CLWH-SFCR-MeadowCr-AdClip,SF Clearwater,2019,Snake,SFCLWR,0.999741211,Large,8,OmyDWOR19S_1003,OmyDWOR19S_1228
OmyZON623S_0195,44803,850,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.999575591,Large,8,OmyDWOR19S_0534,OmyDWOR19S_0299
OmyZON623S_0197,44803,925,1,,M,PBT,AD,2019-DWOR-DWOR-NFClearwaterR-AdClip,Dwor-C,2019,Snake,SFCLWR,0.998699817,Large,8,OmyDWOR19S_0581,OmyDWOR19S_0439
OmyZON623S_0198,44803,715,1,,F,GSI,AD,Unassigned,UPSALM,,Snake,UPSALM,0.976525037,Small,8,NA,NA
OmyZON623S_0007,44804,645,1,,F,PBT,AD,2019-IRRI-WALL-WallowaR,Wallowa-OR,2019,Snake,MGILCS,0.990516633,Small,8,OmyWALL19S_0358,OmyWALL19S_0393
OmyZON623S_0009,44804,750,1,,M,PBT,AD,2019-NIAG-PAHS-PahsimeroiR-AdClip,Pahsimeroi,2019,Snake,MGILCS,0.971131146,Small,8,OmyPAHH19S_0103,OmyPAHH19S_0703
